,name,bio,appointed_date,administration,department
30,James F. McCarthy III,"Assistant Chief Immigration Judge
Attorney General William Barr appointed James F. McCarthy III to begin supervisory immigration court duties and hearing cases in June 2019. He will oversee the Cleveland Immigration Court. Judge McCarthy earned a Bachelor of Arts in 1974 from Xavier University and a Juris Doctor in 1977 from the Ohio State University College of Law. From 1977 to 1981, he was an active duty judge advocate with the United State Navy at Commander Naval Surface Force, U.S. Atlantic Fleet and Naval Legal Service Office, Norfolk, Virginia. From 1981 to 1983, he was with the law firm of Smith & Schnacke. From 1983 to 1995, he was an assistant city solicitor and chief trial counsel for the city of Cincinnati. During that same time, he was a judge advocate for the United State Navy in the following locations: Washington Navy Yard, Naval Legal Service Office; Norfolk, Virginia, Naval Legal Service Office; Newport, Rhode Island, Office of the Judge Advocate; Naval Air Station Pensacola, Florida; Naval Air Station, Oceana, Virginia. From 1995 until 2019, he was a shareholder in the law firm of Katz, Teller, Brant & Hild. Judge McCarthy is a member of the Ohio Bar.","[6, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
31,Jeffrey S. Miller,"Jeffrey S. Miller was appointed as an Assistant Chief Immigration Judge, based in Los Angeles, in April 2020. Judge Miller earned a Bachelor of Science in 1996 from Berry College and a Juris Doctor in 2006 from Florida Coastal School of Law. From 2018 to 2020, he served as an Immigration Judge at the Los Angeles Immigration Court. From 2010 to 2018, he served as an assistant U.S. attorney at the U.S. Attorney’s Office for the Southern District of Texas in Corpus Christi, Texas. From 2008 to 2010, as a member of the U.S. Coast Guard Judge Advocate General Corps, he served as a special assistant U.S. attorney at the U.S. Attorney’s Office for the Middle District of Florida in Tampa, Florida. From 2006 to 2008, he served as an assistant state attorney in Jacksonville, Florida. From 2005 to present, he has served in the U.S. Coast Guard Reserve. Judge Miller is a member of the Florida State Bar.","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
32,"Alfredia Owens
","Alfredia Owens was appointed as an Assistant Chief Immigration Judge, based in Atlanta, in March 2020. Judge Owens earned a Bachelor of Science in 1989 from the University of Arkansas at Little Rock and a Juris Doctor in 1994 from the University of Arkansas at Little Rock William H. Bowen School of Law. From 2007 to 2020, she served as chief counsel, Office of Chief Counsel (OCC), Office of the Principal Legal Advisor (OPLA), Immigration and Customs Enforcement (ICE), Department of Homeland Security (DHS), in Atlanta, for Georgia, North Carolina, and South Carolina. From 2006 to 2007, she served as deputy chief counsel, OCC, OPLA, ICE, DHS. From 2002 to 2005, she served as an assistant chief counsel, OCC, OPLA, ICE, DHS. From 1996 to 2001, she served as an assistant district attorney for the Tarrant County District Attorney’s Office. Judge Owens is a member of the State Bar of Texas.","[3, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
33,Anne Kristina Perry,"Anne Kristina Perry was appointed as an Assistant Chief Immigration Judge, based in Imperial, in April 2020. Judge Perry earned a Bachelor of Arts in 1978 from the University of California, Los Angeles, and a Juris Doctor in 1981 from the Loyola Law School. From 2019 to 2020, she served as an Immigration Judge at the Imperial Immigration Court. From 2018 to 2019, she served as an Immigration Judge at the Los Angeles Immigration Court. From 1991 to 2018, she served as an assistant U.S. attorney at the U.S. Attorney’s Office for the Southern District of California in San Diego. From 1987 to 1991, she served as an assistant U.S. attorney at the U.S. Attorney’s Office for the District of Nevada. From 1983 to 1987, she was a deputy attorney general with the State of Nevada. From 1982 to 1983, she was a deputy district attorney in Clark County, Nevada. Judge Perry is a member of the Nevada State Bar and the State Bar of California. ","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
34,Rodin Rooyani,"Rodin RooyaniAssistant Chief Immigration Judge
Rodin Rooyani was appointed as an Assistant Chief Immigration Judge, based in Los Angeles, in January 2016. Judge Rooyani received a Bachelor of Arts in 1995 from George Mason University and a Juris Doctor in 1998 from the University of Maryland School of Law. From April 2009 to January 2016, she served as an Immigration Judge at the Los Angeles Immigration Court. From November 2004 to April 2009, Judge Rooyani served as an assistant U.S. attorney for the National Security Section, Criminal Division, U.S. Attorney’s Office for the Central District of California. From 1998 to 2004, she served as a trial attorney with the former Immigration and Naturalization Service and as an assistant chief counsel with the Department of Homeland Security entering on duty through the Attorney General’s Honors Program. Judge Rooyani is a member of the Maryland and California Bars.","[1, '2016']",Barack Obama,The Office of the Chief Immigration Judge (OCIJ)
35,Jose A. Sanchez,"Jose A. SanchezAssistant Chief Immigration Judge
Jose A. Sanchez was appointed as an Assistant Chief Immigration Judge, based in Boston, in February 2019. Judge Sanchez earned a Bachelor of Arts in 1984 from Fordham University at Lincoln Center and a Juris Doctor in 1987 from Northeastern University School of Law. From 1995 to 2017, he served as an associate justice of the trial court for the Trial Court of Massachusetts, in Lawrence, Massachusetts. From 1987 to 1995, he served as a trial attorney for the Committee for Public Counsel Services, in Cambridge, Massachusetts. From 1976 to 1981, he served as an air traffic controller for the FAA, in New York, New York. Judge Sanchez is a member of the Massachusetts State Bar.","[2, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
36,Theresa M. Scala,"Theresa M. ScalaAssistant Chief Immigration Judge
Theresa M. Scala was appointed as an Assistant Chief Immigration Judge, based in Seattle, in November 2017. Judge Scala received a Bachelor of Science in 1986 from Ithaca College and a Juris Doctor in 1992 from Nova Southeastern University Law Center. From 2010 to 2017, Judge Scala served as an Immigration Judge at the Tacoma Immigration Court. From 1994 to 2010, she served as an assistant chief counsel and deputy chief counsel for the Department of Homeland Security, Immigration and Customs Enforcement, in Miami and Orlando, Florida. Judge Scala began her legal career with the Executive Office for Immigration Review in Miami, Florida, where she served as attorney advisor and judicial law clerk from 1992 to 1994. Judge Scala is a member of the Florida Bar.","[11, '2017']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
37,Christopher R. Seppanen,"Christopher R. SeppanenAssistant Chief Immigration Judge
Christopher R. Seppanen was appointed as an Assistant Chief Immigration Judge, based in Detroit, in August 2019. Judge Seppanen earned a Bachelor of Arts in 1990 from Alma College and a Juris Doctor in 1993 from the University of Kentucky College of Law. From August 2017 to August 2019, he served as an Immigration Judge at the Cleveland Immigration Court. From 2002 to 2017, he worked for the State of Michigan in Lansing, Michigan, serving as a supervisory administrative law judge, 2002 to 2012; a deputy chief administrative law judge, 2012 to 2014; and a chief administrative law judge, 2014 to 2017. From 1997 to 2002, he served as an administrative law judge for the State of Michigan, in Manistee, Michigan. From 1996 to 1997, he served as a trial attorney for the Office of Public Advocacy, in Alpena, Michigan. Judge Seppanen is a member of the Michigan State Bar.","[8, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
38,Vance H. Spath,"Vance H. Spath was appointed as an Assistant Chief Immigration Judge, based in Miami, in April 2020. Judge Spath earned a Bachelor of Arts in 1987 from Virginia Wesleyan University, a Juris Doctor in 1991 from Quinnipiac University, and a Master of Laws in 2001 from the Judge Advocate General’s Legal Center and School. From 2018 to 2020, he served as an Immigration Judge at the Arlington Immigration Court. From 1993 to 2018, he was an attorney and judge with the U.S. Air Force in the following locations: Joint Base Andrews, Maryland; Kadena Air Base, Japan; Travis Air Force Base, California; F.E. Warren Air Force Base, Wyoming; Bolling Air Force Base, Maryland; Shriever Air Force Base, Colorado; Randolph Air Force Base, Colorado; Wright-Patterson Air Force Base, Ohio; Randolph Air Force Base, Texas; and Ramstein Air Force Base, Germany. Judge Spath is a member of the New York State Bar.","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
39,Elisa M. Sukkar,"Elisa M. SukkarAssistant Chief Immigration Judge
Elisa M. Sukkar was appointed as an Assistant Chief Immigration Judge, based in Miami, in April 2008. Judge Sukkar received a Bachelor of Science in 1983 from Florida International University and a Juris Doctor in 1987 from Nova Law School. From March 1995 to April 2008, Judge Sukkar served as an Immigration Judge at the Miami Immigration Court. From 1987 to 1995, she was in private practice in Miami, specializing in immigration law. Judge Sukkar is a member of the Florida Bar.","[4, '2008']",George W. Bush,The Office of the Chief Immigration Judge (OCIJ)
40,Khalilah M. Taylor,"Khalilah M. Taylor was appointed as an Assistant Chief Immigration Judge, based in New York, in March 2020. Judge Taylor earned a Bachelor of Arts in 1998 from Temple University and a Juris Doctor in 2001 from Benjamin N. Cardozo School of Law. From 2016 to 2020, she served as an assistant chief counsel and deputy chief counsel, Office of Chief Counsel (OCC), Office of the Principal Legal Advisor (OPLA), Immigration and Customs Enforcement (ICE), Department of Homeland Security (DHS), in New York. From 2014 to 2016, she served as an associate counsel with the Refugee and Asylum Law Division, Office of the Chief Counsel, U.S. Citizenship and Immigration Services, DHS, in Rosedale, New York. From 2002 to 2014, she served as an assistant district counsel/assistant chief counsel, senior attorney, and deputy chief counsel, OCC, OPLA, ICE, DHS, in New York. From 2001 to 2002, she served as a judicial law clerk at the Newark Immigration Court, Executive Office for Immigration Review, Department of Justice. Judge Taylor is a member of the New York State Bar.","[3, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
41,Daniel H. Weiss,"Daniel H. WeissAssistant Chief Immigration Judge
Daniel H. Weiss was appointed as an Assistant Chief Immigration Judge, based in Dallas, in August 2017. Judge Weiss earned a Bachelor of Arts in 1986 from the University of Pennsylvania and a Juris Doctor in 1990 from the University of Maryland School of Law. From 2016 to 2017, Judge Weiss served as an Immigration Judge at the Dallas Immigration Court. From 2010 to 2015, he served as a senior attorney in the Human Trafficking Prosecution Unit, Civil Rights Division (CRT), Department of Justice (DOJ). From 2005 to 2010, he served as a trial attorney, then deputy chief, in the Special Litigation Section, CRT, DOJ. From 1992 to 2000, he served as an assistant public defender for both the Appellate Division and Trial Division, Office of the Public Defender, State of Maryland. From 1991 to 1992, he served as an attorney for the Fidelity and Deposit Companies of Maryland, in Baltimore. From 1990 to 1991, he served as a judicial law clerk to the Honorable Ellen. L. Hollander, Circuit Court for Baltimore City. Judge Weiss is a member of the Maryland State Bar.","[8, '2017']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
42,Ryan R. Wood,"Ryan R. WoodAssistant Chief Immigration Judge
Ryan R. Wood was appointed as an Assistant Chief Immigration Judge, based in Bloomington, in March 2019. Judge Wood earned a Bachelor of Arts in 2000 from Hamline University, a Juris Doctor in 2004 from the Hamline University School of Law, and a Master of Business Administration in 2015 from the Hamline University School of Business. From January 2005 to October 2009, he was a judge advocate with the U.S. Army Judge Advocate General Corps, serving in the 4th and 7th Infantry Divisions. From October 2009 through November 2014, he served as an assistant chief counsel for the Office of the Chief Counsel, Immigration and Customs Enforcement, Department of Homeland Security, in Fort Snelling, Minn. From November 2014 to April 2017, he served as a special assistant U.S. attorney in the U.S. Attorney’s Office, District of Minnesota, Department of Justice. From 2017 to 2019, he served as an Immigration Judge at the Bloomington Immigration Court. Judge Wood is a member of the Minnesota State Bar.","[3, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
43,David H. Wetmore,"Attorney General William Barr appointed David H. Wetmore as the Chief Appellate Immigration Judge of the Board of Immigration Appeals in May 2020. Chief Judge Wetmore earned a Bachelor of Arts, magna cum laude, in 1997 from Miami University, Oxford, Ohio, and a Juris Doctor, with High Honors, in 2002 from The George Washington University Law School, Washington, DC. He joined the Department of Justice (DOJ) in 2009 as a career appellate litigator. From 2019 to May 2020, he served as Associate Deputy Attorney General, Office of the Deputy Attorney General (ODAG).  From 2018 to 2019, he served as Senior Counsel to the Deputy Attorney General in ODAG. From 2009 to 2018, Chief Judge Wetmore served as a Trial Attorney in the Civil Division, Office of Immigration Litigation’s (OIL) Appellate Section, DOJ. During his tenure at OIL, he also served a detail from 2017 to 2018 as an Immigration Advisor to the White House Domestic Policy Counsel. From 2005 to 2006, and again from 2007 to 2009, Chief Judge Wetmore was a litigation associate at Sidley Austin LLP. From 2006 to 2007, Chief Judge Wetmore was a law clerk to the Honorable Daniel A. Manion, U.S. Court of Appeals for the Seventh Circuit. From 2003 to 2005, Chief Judge Wetmore worked as a litigation associate at Jenner & Block LLP. From 2002 to 2003, Chief Judge Wetmore served as a law clerk to the Honorable Gordon J. Quist, U.S. District Court for the Western District of Michigan. Chief Judge Wetmore has served on an intermittent basis in 2006, 2008 through 2009, and 2010 through 2011, as an adjunct professor of law at The George Washington University Law School, where he taught legal writing and oral advocacy. Chief Judge Wetmore is a member of the District of Columbia Bar.","[5, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
44,Charles Adkins-Blanch,"Charles Adkins-BlanchDeputy Chief Appellate Immigration Judge 
Attorney General Eric Holder appointed Charles Adkins-Blanch as Deputy Chief Appellate Immigration Judge of the Board of Immigration Appeals in January 2013. Deputy Chief Judge Adkins-Blanch received a bachelor of arts degree in 1984 from Grinnell College and a juris doctorate in 1990 from the National Law Center, George Washington University. He served as a board member from 2008 until his appointment as Deputy Chief Judge. From 2004 to 2008, he served as an immigration judge at the Headquarters Immigration Court and, from 1995 to 2004, Deputy Chief Judge Adkins-Blanch served in EOIR’s Office of the General Counsel, as general counsel from 2000 to 2004, as acting general counsel from 1999 to 2000, and as an associate general counsel from 1995 to 1999. From 1990 to 1995, he worked for the Board as an attorney advisor entering on duty through the Attorney General’s Honors Program. From 1989 to 1990, he clerked in private practice with the firm of Maggio & Kattar, specializing in immigration and nationality law. Deputy Chief Judge Adkins-Blanch is a member of the District of Columbia and Virginia State Bars.","[1, '2013']",Barack Obama,The Board of Immigration Appeals (BIA)
45,Garry D. Malphrus,"Attorney General William P. Barr appointed Garry D. Malphrus as a deputy chief appellate immigration judge in September 2020. Judge Malphrus earned a Bachelor of Arts in 1989 from the University of South Carolina and a Juris Doctor in 1993 from the University of South Carolina. From August 2008 to September 2020, he served on the Board of Immigration Appeals, Executive Office for Immigration Review, including as acting Board Chairman from October 2019 to May 2020. From 2005 to 2008, he served as an immigration judge at the Arlington Immigration Court. From 2001 to 2005, he served as associate director of the White House Domestic Policy Council. From 1997 to 2001, he worked for the U.S. Senate Committee on the Judiciary, which included serving as chief counsel and staff director on the Subcommittee on Criminal Justice Oversight and the Subcommittee on the Constitution. From 1995 to 1997, Garry served as a law clerk for the Honorable Dennis W. Shedd, U.S. District Judge for the District of South Carolina. From 1994 to 1995, he was a law clerk for the Honorable William W. Wilkins of the U.S. Court of Appeals for the Fourth Circuit. From 1993 to 1994, he was a law clerk for the Honorable Larry R. Patterson, Circuit Judge for South Carolina. Judge Malphrus is a member of the South Carolina Bar.","[9, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
46,Michael P. Baird,"Attorney General William P. Barr appointed Michael P. Baird as an appellate immigration judge in August 2020. Judge Baird received a Bachelor of Business Administration in 1989 from Clayton State University and a Juris Doctorate in 1992 from Georgia State University College of Law. From 2009 to 2020, he served as an immigration judge first in Dallas, Texas and then later transferred to the Atlanta Immigration Court. From 2006 to 2009, he served as a senior assistant district attorney in the Appalachian Judicial Circuit, in Georgia. From 2004 to 2006, he served as a judge in the Municipal Court of Jonesboro, Georgia. From 1997 to 2004, he served as chief judge for the Magistrate Court of Clayton County, Georgia. From 1995 to 1996, he was in private practice. From 1993 to 1995, he served as senior assistant solicitor general at the Clayton County Solicitor’s Office. From 1992 to 1993, he was in private practice. From 1986 to 1990, he was a police officer. Judge Baird has taught as adjunct faculty at the Georgia State University College of Law, Clayton State University and the University of West Georgia. Judge Baird is a member of the State Bar of Georgia.","[8, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
47,William A. Cassidy,"Attorney General William Barr appointed William A. Cassidy in August 2019. Judge Cassidy received a Bachelor of Science in 1975 from Kenyon College and a Juris Doctorate in 1980 from John Marshall/Cleveland State University. From October 1993 to November 1996, Judge Cassidy served as an immigration judge in New York, and from November 1996 to August 2019, he served as an immigration judge in Atlanta. From 1992 to 1993, he was in private practice with Squire, Sanders & Dempsey, in Cleveland. From 1987 to 1992, he served as both general attorney and as director of training at the former Immigration and Naturalization Service. From 1986 to 1987, and previously from 1981 to 1984, he served as an assistant county prosecutor for the Civil/Criminal Division with Cuyahoga County, Ohio. From 1984 to 1986, he served as law director/prosecutor with the City of North Ridgeville, Ohio. Judge Cassidy is a member of the Ohio Bar.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
48,V. Stuart Couch,"Attorney General William Barr appointed V. Stuart Couch in August 2019. Judge Couch received a Bachelor of Arts in political science in 1987 from Duke University, a Juris Doctor in 1996 from Campbell University, and a Master of Laws in litigation and dispute resolution in 2008 from The George Washington University. From October 2010 to August 2019, Judge Couch served as an immigration judge in Charlotte, North Carolina. From 2009 to October 2010, he was in private practice in Charlotte, North Carolina. From 2006 to 2009, Judge Couch served as a senior appellate judge on the U.S. Navy-Marine Corps Court of Criminal Appeals in the District of Columbia. From 2003 to 2006, he was assigned to the Department of Defense, Office of Military Commissions as a senior prosecutor for select detainees held at Guantánamo Bay, Cuba. From 2001 to 2003, he served as the chief trial counsel and military justice officer for Camp Lejeune, North Carolina. From 1999 to 2001, Judge Couch was in private practice and served as an assistant district attorney in Beaufort and New Bern, North Carolina. From 1996 to 1999, he served as the chief trial counsel and a special assistant U.S. attorney at Marine Corps Air Station, Cherry Point, North Carolina. Before attending law school, Judge Couch served as a KC-130 pilot with Marine Aerial Refueler Transport Squadron 252 (VMGR-252) at Marine Corps Air Station Cherry Point from 1989 to 1993. Judge Couch is a member of the North Carolina State Bar.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
49,Michael J. Creppy,"Michael J. Creppy
Attorney General Eric Holder appointed Michael J. Creppy in February 2011. Judge Creppy received a bachelor of arts degree in 1975 from Fisk University, a juris doctorate in 1978 from Howard University School of Law and a masters of law degree in 1979 from Georgetown University Law Center. From April 2006 to February 2011, he served as EOIR’s chief administrative hearing officer. From May 1994 to April 2006, he served as chief immigration judge, overseeing the numerous immigration courts around the country. Prior to joining EOIR, Judge Creppy worked for the former Immigration and Naturalization Service (INS) in various capacities: from 1988 to 1994, in the Office of the General Counsel as deputy general counsel for litigation; from 1986 to 1988, as an associate general counsel primarily focusing on the employer sanctions and anti-discrimination provisions of the Immigration and Nationality Act; and from 1984 to 1986, as chief legal officer for the INS district office in Los Angeles. From 1983 to 1984, he served as a trial attorney with the Office of Immigration Litigation, Civil Dvision, Department of Justice. From 1981 to 1983, Judge Creppy was a trial attorney for the former INS district office in New York. From 1979 to 1981 he served as a judicial law clerk for the Superior Court for the District of Columbia. Judge Creppy is a member of the District of Columbia Bar.","[2, '2011']",Barack Obama,The Board of Immigration Appeals (BIA)
50,Deborah K. Goodwin,"Attorney General William Barr appointed Deborah K. Goodwin in August 2019. Judge Goodwin earned a Bachelor of Arts in 1986 from Wilson College and a Juris Doctor in 2000 from the State University of New York at Buffalo School of Law. From February 2017 to August 2019, Judge Goodwin served as an immigration judge in Miami. From 2015 to January 2017, she served as an associate legal advisor for the District Court Litigation Division, Immigration and Customs Enforcement (ICE), Department of Homeland Security (DHS), in the District of Columbia. From 2007 through 2015, she served as an associate counsel for U.S. Citizenship and Immigration Services, DHS, in San Francisco. From 2002 through 2007, she served as an assistant chief counsel for ICE, DHS, and former Immigration and Naturalization Service, in San Francisco. Judge Goodwin is a member of the Florida Bar.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
51,Stephanie E. Gorman,"Attorney General William Barr appointed Stephanie E. Gorman in August 2019. Judge Gorman earned a Bachelor of Science in 1996 from California State University Sacramento, a Juris Doctor in 2002 from the Thomas Jefferson School of Law, and a Master of Laws in 2005 from the University of San Diego School of Law. From February 2017 to August 2019, Judge Gorman served as an immigration judge in Houston. From 2014 to January 2017, she served as an attorney and legal instructor at the Federal Law Enforcement Training Center in Glynco, Georgia, for the Office of the Chief Counsel, Customs and Border Protection, Department of Homeland Security (DHS). From 2008 through 2014, she served as an assistant chief counsel for the Office of the Principal Legal Advisor, Immigration and Customs Enforcement, DHS. From 2009 through 2012, she also served as a special assistant U.S. attorney for the U.S. Attorney’s Office, Middle District of Florida, Department of Justice (DOJ), in Orlando, Florida. From 2007 through 2008, she served as a judicial law clerk for the Honorable M. James Lorenz, U.S. District Court for the Southern District of California, in San Diego. From March 2007 to September 2007, she served as a judicial law clerk for the Honorable Roger T. Benitez, U.S. District Court for the Southern District of California, in San Diego. From 2006 through 2007, she served as an assistant state attorney for the 12th Judicial Circuit, in Sarasota, Fla. From 2003 through 2006, she served in various capacities on the faculty of the Thomas Jefferson School of Law, including as visiting assistant professor of law and senior legal writing instructor and adjunct professor. From 2002 through 2004, she served as an associate attorney for the Law Office of Matthew P. Rocco, in Carlsbad, California. Judge Gorman is a member of the State Bar of California and the Florida Bar.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
52,Edward R. Grant,"Edward R. Grant
Attorney General Janet Reno appointed Edward R. Grant in January 1998. Judge Grant received a bachelor of arts degree in 1979 from Georgetown University and a juris doctorate in 1982 from Northwestern University School of Law. From 1995 to 1998, he served as counsel in the U.S. House of Representatives, Committee on the Judiciary, Subcommittee on Immigration and Claims. From 1992 to 1995, he served as a deputy associate general counsel, Refugee and Asylum Law Division, and as legislative counsel for INS. From 1987 to 1990, Judge Grant worked for the Chicago law firm of Hinshaw & Culbertson, and from 1982 to 1984 with the Philadelphia law firm of Drinker Biddle & Reath. From 1984 to 1987, Judge Grant served as executive director and general counsel of Americans United for Life in Chicago. Judge Grant is a member of the Illinois State and Commonwealth of Pennsylvania Bars.","[1, '1998']",Bill Clinton,The Board of Immigration Appeals (BIA)
53,Anne J. Greer,"Anne J. Greer
Attorney General Michael Mukasey appointed Anne J. Greer in August 2008. Judge Greer received a bachelor of arts degree in 1980 from Allegheny College, Meadville, Pa., and a juris doctorate in 1992 from George Mason University School of Law, Arlington, Va. From 2003 to 2008, she served as an assistant chief immigration judge. From 1992 to 2003, she worked as a senior panel attorney, supervisory attorney advisor, and attorney advisor for the BIA. From 1989 to 1992, Judge Greer was a law clerk at the U.S. Department of Commerce, Office of the Chief Administrative Law Judge, in Washington, D.C. She has been an adjunct professor of law at George Mason University School of Law since 1996. Judge Greer is a member of the District of Columbia and Commonwealth of Virginia Bars.","[8, '2008']",George W. Bush,The Board of Immigration Appeals (BIA)
54,Keith E. Hunsucker,"Attorney General William Barr appointed Keith E. Hunsucker in August 2019. Judge Hunsucker received a Bachelor of Arts in 1984 from the University of Akron and a Juris Doctorate in 1987 from the University of Akron School of Law. From August 2010 to September 2017, Judge Hunsucker served as an immigration judge in Port Isabel, Texas. From September 2017 to August 2019, Judge Hunsucker served as an immigration judge in Cleveland. From 2000 to August 2010, he worked as a senior instructor for the Federal Law Enforcement Training Center, Legal Division, Department of Homeland Security, in Glynco, Georgia. From 1992 to 2000, he worked as an attorney for the former Immigration and Naturalization Service (INS), in Atlanta. From 1989 to 1992, he was an attorney for the former INS in Harlingen, Texas. From April 1989 to September 1989, Judge Hunsucker was a law clerk for the Ohio Court of Appeals, 9th Judicial District. From 1988 to 1989, he was in private practice. From 1987 to 1988, Judge Hunsucker worked as an INS attorney in the Attorney General’s Honors Program, in San Francisco. Judge Hunsucker is a member of the Ohio State and District of Columbia Bars.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
55,Edward F. Kelly,"Edward F. Kelly
Attorney General Loretta E. Lynch appointed Judge Kelly to begin hearing cases in January 2017. Judge Kelly received a Bachelor of Arts degree in 1982 and a Juris Doctor in 1987, both from the University of Notre Dame. From March 2013 to January 2017, Judge Kelly served as deputy chief immigration judge for the Office of the Chief Immigration Judge (OCIJ). From May 2015 to January 2016, he served as assistant director (acting) for the Office of Administration, Executive Office for Immigration Review (EOIR). From March 2011 to March 2013, he served as an assistant chief immigration judge. From November 2007 to March 2011, Judge Kelly served as senior counsel, chief of staff, and counsel for operations for the OCIJ, EOIR. From 1998 to 2007, he was a senior legal advisor for the Board of Immigration Appeals (BIA), EOIR. From 1995 to 1998, he served as a supervisory attorney and team leader for the BIA. From 1989 to 1993, and again from 1994 to 1995, Judge Kelly was an attorney advisor for the BIA. From 1987 to 1989, he served as an assistant counsel, Subcommittee on Immigration, Refugees and International Law, U.S. House of Representatives, Washington, D.C. From 1982 to 1984, he served in the U.S. Peace Corps in Gabon, Africa. Judge Kelly is a member of the Virginia State Bar.","[1, '2017']",Barack Obama,The Board of Immigration Appeals (BIA)
56,Ellen Liebowitz,"Ellen Liebowitz
Attorney General Loretta E. Lynch appointed Judge Liebowitz to begin hearing cases in February 2016. Judge Liebowitz received a Bachelor of Arts degree in 1987 from the University of Delaware and a Juris Doctor in 1990 from the University of Maryland. From 2008 to January 2016, Judge Liebowitz served as a senior legal advisor to the chairman, Board of Immigration Appeals (BIA). From 2007 to 2008, she was a senior counsel to the chairman, BIA, and from 1991 to 2007, as an attorney advisor for the BIA. Prior to joining the board, she clerked for the Circuit Court for Harford County, Maryland. Judge Liebowitz is a member of the Maryland Bar.","[2, '2016']",Donald Trump,The Board of Immigration Appeals (BIA)
57,Sunita B. Mahtabfar,"Sunita B. Mahtabfar
Attorney General William P. Barr appointed Sunita B. Mahtabfar as an appellate immigration judge in August 2020. Judge Mahtabfar earned a Bachelor of Arts in 1994 from the University of Texas at Austin and a Juris Doctorate in 1998 from Thurgood Marshall School of Law. From 2013 to 2020, she served as an immigration judge in the El Paso Immigration Court. From 2006 to 2013, she served as an attorney in the Office of the Assistant Chief Counsel, U.S. Customs and Border Protection, Department of Homeland Security (DHS), in El Paso, Texas. From 2003 to 2006, she served as an asylum officer, U.S. Citizenship and Immigration Services, DHS, in Houston. Judge Mahtabfar is a member of the State Bar of Texas.","[8, '2020']",Barack Obama,The Board of Immigration Appeals (BIA)
58,Ana Landazabal Mann,"Ana Landazabal Mann
Attorney General Eric Holder appointed Ana Landazabal Mann in November 2011. Judge. Mann received a bachelor of arts degree from Rutgers University in 1982 and a juris doctorate from George Washington University in 1985. From 1996 to November 2011, Judge Mann served as a senior legal advisor to the Chairman of the BIA, during which time she also served as a temporary board member. From 1986 to 1996, Judge Mann was an attorney advisor for the BIA. Judge Mann joined DOJ through the Attorney General’s Honors Program when she clerked at the Drug Enforcement Administration from 1985 until 1986. Judge Mann is a member of the New Jersey State Bar.","[11, '2011']",Donald Trump,The Board of Immigration Appeals (BIA)
59,Philip J. Montante Jr.,"Attorney General William Barr appointed Philip J. Montante, Jr. in April 2020.
Judge Montante comes to the Board of Immigration Appeals after serving as an immigration judge since 1990, when he was initially appointed by former Attorney General Richard L. Thornburgh. He received a Bachelor of Business Administration in 1966 from Drake College, a Master of Education in 1967 from Florida Atlantic University, and a Doctor of Jurisprudence in 1971 from Samford University. From March 2019 to April 2020, he served as an assistant chief immigration judge, based in Buffalo, New York. From March 2018 to March 2019, he was an immigration judge in Buffalo and Batavia; from July 2016 to March 2018, an immigration judge in Orlando; from August 1997 to July 2016, an immigration judge in Buffalo; and from April 1990 to August 1997, an immigration judge in Miami. From 1975 to 1990, Judge Montante was in private practice. During this time, in 1989, Judge Montante was certified by the Chief Justice of the Florida Supreme Court as a circuit court mediator. From 1975 to 1976, he served as a special assistant attorney general and in 1976, was appointed as a chief municipal court judge in Broward County, Florida. From 1971 to 1975, he held various positions in the state attorney’s office for the 17th judicial circuit of Florida, including prosecutor, chief assistant state attorney, and assistant state attorney. From 1975-1979, Judge Montante was appointed by the Governor of the State of Florida to a four-year term as a member of the Judicial Nominating Commission, first as secretary and then as Chairman. From 1983-1985, he was Chairman of the Florida Bar Grievance Committee 17 (C) 1983. He is currently serving as a Member of the President’s Commission on White House Fellowships (2018 to present) and likewise was a member of the President’s Commission from 2001 to 2007, which is a part of the Executive Office of the President. Judge Montante is a member of the District of Columbia Bar, Florida Bar, and New York State Bar.","[4, '2020']",Barack Obama,The Board of Immigration Appeals (BIA)
